会社名,資本金,売上高,代表者,ホームページ,メールアドレス,連絡先
情報通信コンサルティング株式会社,1000万円,3億9349万円（2016年5月実績）,"代表取締役　小山 恭之",http://www.doctorqube.com,info@ns1.doctorqube.com,"情報通信コンサルティング株式会社〒532-0011 大阪市淀川区西中島4-3-5 NLCセントラルビル11階大阪本社採用係宛TEL：06-6838-5288　FAX：06-6838-5287E-mail：info@ns1.doctorqube.com●URL http://www.doctorqube.com"
株式会社　Ｃ＆Ｇシステムズ,5億円（2017年1月現在）,44億4500万円（2016年12月期連結）,代表取締役会長　　山口　修司代表取締役社長　　塩田　聖一,http://www.cgsys.co.jp,saiyo@cgsys.co.jp,"株式会社C&Gシステムズ　（C&G SYSTEMS INC.)人事採用担当　　E－mail：saiyo@cgsys.co.jp(東京本社)〒140-0002 東京都品川区東品川2-2-24 天王洲セントラルタワー19Ftel：03-6864-0777(北九州本社)〒 806-0067　北九州市八幡西区引野1丁目5番15号TEL：093-642-4541ホームページ：http://www.cgsys.co.jp/jp/index.html"
株式会社夢テクノロジー,12億6707万円　（2017年9月度）,7385百万円（2017年9月度）,代表取締役社長　本山佐一郎,http://www.yume-tec.co.jp,shinsotsu@ml.yume-tec.co.jp,株式会社夢テクノロジー〒141-0032　東京都品川区大崎1-6-4　新大崎勧業ビル4FTEL：0120-008-290URL：http://www.yume-tec.co.jp▼お問い合わせはE-mailでも受け付けています。E-Mail：shinsotsu@ml.yume-tec.co.jp
株式会社コンピューターエンゼルス,1000万円,1億5千万円（2016年度実績）,代表取締役社長　北川昭夫,http://www.com,,"株式会社コンピューターエンゼルス　開発本部採用担当　北川靖啓〒600-8093京都府京都市下京区高倉通綾小路下ル竹屋町393-7TEL: 075-343-3123MAIL: y_kitagawa@comangel.co.jp 　　　　info@comangel.co.jpHP URL: http://www.comangel.co.jp/"
シグマトロン株式会社,6500万円,39.1億円（2015年3月期）,代表取締役社長　高山　允伯,http://www.sigmatron.co.jp,sgt_sinsotsu@sigmatron.co.jp,"東京都中央区日本橋本町4-8-14　東京建物第3室町ビル 人事部　新卒採用担当/三輪、倉田、萩原 TEL　03-3243-5211 E-mail:sgt_sinsotsu@sigmatron.co.jp URL　http://www.sigmatron.co.jp/ 交通　JR総武快速線「新日本橋」駅下車 徒歩1分（8番出口直結） 　　　　東京メトロ銀座線「三越前」駅 徒歩4分(地下通路にて新日本橋駅8番出口直結) 　　　　東京メトロ半蔵門線「三越前」駅 徒歩10分(地下通路にて新日本橋駅8番出口直結) 　　　　東京メトロ日比谷線「小伝馬町」駅 徒歩4分 　　　　JR線「神田」駅 徒歩8分"
ヒワサキコンピュータシステム株式会社,１，０００万円,３億０，９３９万円（２０１６年度）,日和崎三郎,,,"総務部人事担当　西森、安岡〒780－0841 高知市帯屋町2丁目2番1号ＴＥＬ(088)822－2555"
株式会社第一コンピュータリソース,２億７９００万円,５９億４，０００万円（平成２８年３月）,代表取締役社長：池谷正宏,https://www.dcr.co.jp,jinji@dcr.co.jp,"株式会社 第一コンピュータリソース 　人事部〒460-0003　名古屋市中区錦1丁目16番20号 グリーンビル8階TEL (052)204-1411E-mail　jinji@dcr.co.jpホームページ　：　https://www.dcr.co.jp/お問い合わせ　：　人事部人事課　柴田・三阪・久野"
クイックソフト株式会社,３，０００万円,４億８，５７７万円（２０１６年度）,日和崎　三郎,http://www.quiqsoft.co.jp,,総務部人事担当　西森、安岡〒780-0841　高知市帯屋町２丁目２番１番TEL(０８８）８２２－２５５５URL：http://www.quiqsoft.co.jp/
アクティス・ジャパン株式会社,9500万円,14億5400万円（2017年3月実績）,代表取締役　菅井　泰伸,http://www.acts-group.co.jp,saiyo18@acts-group.co.jp,"■アクティス・ジャパン株式会社　総務・人事部〒460-0007名古屋市中区新栄1-7-7ＲＴセンターステージビル2F採用チーム：神田、森TEL：052-241-4477Mail：saiyo18@acts-group.co.jp http://www.acts-group.co.jp/recruit/"
NCシステムソリューションズ株式会社,1億円,■6億6000万円/2016年3月期,,,ncsaiyo@nc-hd.jp,"NCグループ採用センター【メール】ncsaiyo@nc-hd.jp【住所】〒101-0044 東京都千代田区鍛冶町1-7-7 ヒルトップ神田ビル5F【交通】JR山手線「神田」駅より徒歩1分【TEL】03-6859-3711/受付時間9:00～17:45"
エヌ・ティ・ティ・システム技研株式会社,5000万円,11億円(2016年3月期),代表取締役　高山　允伯,http://www.ntt-ipnet.co.jp/g/,recruit@ntt-ipnet.co.jp,"〒171-0031　東京都豊島区目白2-16-20　TCS-HD南池袋ビル　 TEL 03-5954-5611（代表）FAX　03-5950-0711URL http://www.ntt-ipnet.co.jp/g/ E-mail　recruit@ntt-ipnet.co.jp"
株式会社オーネスト,6000万円,23億5000万円(平成28年度実績),"代表取締役社長　齋藤 英俊",http://www.honest2000.co.jp,saiyou@honest2000.co.jp,"〒113-0033東京都文京区本郷4-37-17本郷トーセイビル4F　都営大江戸線 本郷三丁目駅　徒歩2分　東京メトロ丸ノ内線 本郷三丁目駅　徒歩3分TEL:03(3830)0909　(担当/横尾・小川・永井)【U R L】http://www.honest2000.co.jp【E-mail】saiyou☆honest2000.co.jp　　　　　 ☆の部分を半角の@に変更してから送信してください。受付時間:10:00～17:30(土日・祝祭日を除く)＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊採用活動における個人情報の取り扱いについて株式会社 オーネスト（以下「当社」）は、個人情報保護ポリシーのとおり個人情報保護方針を定め、個人情報を厳重に管理し、以下のように取り扱います。■個人情報の利用目的当社は、お預かりした個人情報を下記の目的でのみ利用致します。・当社の採用選考を行うため・ご応募いただいた方へ採用に関する情報提供を行うため ・採用された場合の人事管理を行うため■個人情報の管理当該年度の採用活動が終了した後、適切な方法により廃棄または削除いたします。尚、返却を希望される方は、お手数ですが下記「個人情報に関するお問い合せ窓口」までお申し出下さい。■個人情報保護ポリシーhttp://www.honest2000.co.jp/privacy.html■個人情報に関するお問い合せ窓口当社の採用活動における個人情報の取扱に関するお問い合せは下記までご連絡ください。株式会社 オーネスト〒113-0033　東京都文京区本郷4-37-17本郷トーセイビル4FTEL:03(3830)0909 FAX:03(3830)0899Mail:saiyou☆honest2000.co.jp　　　☆の部分を半角の@に変更してから送信してください。＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊＊"
ユニシステム株式会社,1億7000万円,"37億円（2017年3月期実績） 37億円（2016年3月期実績） 38億円（2015年3月期実績）",代表取締役社長　蓑口　弘典,http://www.unisystem.co.jp,usc_saiyo@unisystem.co.jp,"ユニシステム株式会社(USC) 〒171-0031　 　東京都豊島区目白2-16-20　TCS-HD南池袋ビル 　担　当 : 人事総務部　原、古谷 　T E L : 03-3988-6111 　E-mail : usc_saiyo@unisystem.co.jp  U R L : http://www.unisystem.co.jp "
株式会社アイティフォー,11億2400万円,,代表取締役社長　東川清,http://www.itfor.co.jp,jinjibu@itfor.co.jp,"株式会社アイティフォー　人事部　採用チーム〒102-0082東京都千代田区一番町２１番地(一番町東急ビル)TEL:03-5275-7927E-mail： jinjibu@itfor.co.jpアイティフォーHP： http://www.itfor.co.jp/アイティフォー採用HP：http://www.itfor.co.jp/recruit交通機関東京メトロ半蔵門線「半蔵門駅」5番出口　徒歩1分東京メトロ有楽町線「麹町駅」3番出口　徒歩7分"
株式会社とめ研究所,2500万円,10億1000万円　（2017年3月期）,"代表取締役　福留 五郎",http://www.tome.jp,saiyou@tome.jp,"とめ研究所〒600-8813京都市下京区中堂寺南町134　京都高度技術研究所内7FTEL／075-315-0074 担当／管理企画部 人事グループ 吉田・酒井e-mail: saiyou@tome.jp採用情報URL: http://www.tome.jp/recruit/new_grad_d.html採用担当者（吉田）も博士課程の在籍経験を有しています。ご質問などはメールにてお気軽にどうぞ。"
アンドール株式会社,5億188万円,25億4600万円（2017年3月連結実績）,"代表取締役社長　栗原 高明",,e-mailrecruit@andor.co.jp,"■採用担当共通メールアドレス　 e-mail : recruit@andor.co.jp■東京地区 (宇都宮支店含む）　本社人事部　採用担当　TEL:03-3419-3011　FAX:03-3421-8611　東京都世田谷区池尻3-1-3 MUTOH池尻ビル■神奈川地区 (新横浜支店・横浜支店・厚木支店含む) 　新横浜支店管理部　採用担当　TEL:045-470-5311　FAX:045-470-3845 神奈川県横浜市港北区新横浜2-14-9　豊栄新横浜ビル ■名古屋地区　名古屋支店管理部　採用担当　TEL:052-588-3911 FAX:052-581-2801　愛知県名古屋市中村区名駅南1-18-15　ネオ笹島 ■大阪地区 (神戸支店、滋賀支店含む)　大阪支店管理部　採用担当　TEL:06-6135-8911 FAX:06-4801-9411　大阪市北区東天満2-10-14 TCS-HD南森町ビル"
オートモーティブソリューションズ株式会社,5000万円,非公開,代表取締役社長　高山允伯,,,"【新横浜支店】神奈川県横浜市港北区新横浜2-14-9　豊栄新横浜ビル採用センター　　TEL 045-476-2011 　担当：前代（マエシロ）・平井【大阪支店】大阪府大阪市北区東天満2-10-14　TCS-HD南森町ビル採用センターTEL 06-4800-7011 　担当：鈴木　"
